plan_id,name,widgetsCount,value_rub,months,custom,is_trial
60eac72290455cce1f7ec8a4,Start - 1 год,1,2490,12,False,False
60eac76b90455c5d167ec8b8,Start - 3 мес,1,770,3,False,False
60eac7c090455c3f927ec8d1,Medium - 1 год,3,5350,12,False,False
60eac7dd90455cbc467ec8d7,Medium - 3 мес,3,1670,3,False,False
60eac82590455caaa17ec8e9,Expert - 1 год,10,9200,12,False,False
60eac84590455c57287ec8f5,Expert - 3 мес,10,2850,3,False,False
63d222d256f49c4a6af0410a,Start - 1 год - 2 виджета,2,4800,12,True,False
64512a7841905e8972c8cf4d,Extra - 1 год,15,13800,12,True,False
64790b4e04ea17d8def4f19d,150 виджетов - 3 мес,150,29500,3,True,False
651ee3695d9bb7f812aa115d,Expert 16 - 1 год,16,14720,12,True,False
65dec5de186c28b15cf2cdc4,Medium - 1 год - 4 виджета,4,7200,12,True,False
66dee2178aade27cb3944e41,Expert 12 - 1 год,12,11040,12,True,False
674857fc24021fe30ea570cf,Extra - 3 месяца,15,4250,3,True,False
